"","Loc_adresse_formated","Loc_country","Loc_state","Loc_county","Loc_city"
"454","2150 South Byrne Road, Toledo, OH 43614, United States of America","United States","Ohio","Lucas County","Toledo"
"455","Livingston Bathouse, 242 Hooksett Road, Manchester, NH 03104, United States of America","United States","New Hampshire","Hillsborough County","Manchester"
"456","Adama Mickiewicza 27, 26-610 Radom, Poland","Poland","Mazowieckie","Radom","Radom"
"457","Minot Ross Bird Sanctuary, NH 101, Amherst, NH 03110, United States of America","United States","New Hampshire","Hillsborough County","Amherst"
"458","44 Irving Street, Pryor Creek, OK 74361, United States of America","United States","Oklahoma","Mayes County","Pryor Creek"
"459","Memorial School, 300 West Stewart Street, Washington, NJ 07882, United States of America","United States","New Jersey","Warren County","Washington"
"460","2098 Monte Carlo Trail, Orlando, FL 32805, United States of America","United States","Florida","Orange County","Orlando"
"461","Thurston Middle School, Thurston Road, Springfield, OR 97478, United States of America","United States","Oregon","Lane County","Springfield"
"462","111 Pennsylvania Avenue, San Diego, CA 92103, United States of America","United States","California","San Diego County","San Diego"
"463","18605 South Woodberry Road, Reno County, KS, United States of America","United States","Kansas","Reno County","18605 South Woodberry Road, Reno County, KS, United States of America"
"464","Softball Field, Charles Street, Westborough, MA 01581, United States of America","United States","Massachusetts","Worcester County","Westborough"
"465","Plain Township Fire Dept Station 121, 9500 Johnstown Road, New Albany, OH 43054, United States of America","United States","Ohio","Franklin County","New Albany"
"466","2825 Sharon Hill Road, Dover, DE 19904, United States of America","United States","Delaware","Kent County","Dover"
"467","Manchester South Junior Soccer League, 103 Driving Park Road, Manchester, NH 03103, United States of America","United States","New Hampshire","Hillsborough County","Manchester"
"468","156 Curtis Court, Pittsburgh, PA 15237, United States of America","United States","Pennsylvania","Allegheny County","Pittsburgh"
"469","Rockwell Avenue, Blanchard, OK 73010, United States of America","United States","Oklahoma","McClain County","Blanchard"
"470","Washington Pk EB @ Whittle Springs, Washington Pike, Knoxville, TN 37917, United States of America","United States","Tennessee","Knox County","Knoxville"
"471","Washington Pk EB @ Whittle Springs, Washington Pike, Knoxville, TN 37917, United States of America","United States","Tennessee","Knox County","Knoxville"
"472","Fritz Burns Park Community Pool, Avenida Bermudas, La Quinta, CA 92253, United States of America","United States","California","Riverside County","La Quinta"
"473","Office Sports Bar & Grill, 1919 West Iles Avenue, Springfield, IL 62704, United States of America","United States","Illinois","Sangamon County","Springfield"
"474","5423 Roose Street, Lincoln, NE 68506, United States of America","United States","Nebraska","Lancaster County","Lincoln"
"475","1 Michelle Place, Irving, TX, United States of America","United States","Texas","Dallas County","Irving"
"476","781 East Gamebird Road, Pahrump, NV, United States of America","United States","Nevada","Nye County","Pahrump"
"477","8700 East University Drive, Mesa, AZ 85207, United States of America","United States","Arizona","Maricopa County","Mesa"
"478","331 Carpenter Drive, Fairborn, OH 45324, United States of America","United States","Ohio","Greene County","Fairborn"
"479","33 East Dominion Boulevard, Columbus, OH 43214, United States of America","United States","Ohio","Franklin County","Columbus"
"480","Page Field, 151 The Great Road, Bedford, MA 01730, United States of America","United States","Massachusetts","Middlesex County","Bedford"
"481","450 Park Avenue, Collingswood, NJ 08108, United States of America","United States","New Jersey","Camden County","Collingswood"
"482","2243 Gray Goose Loop, Woodlea, NC 28306, United States of America","United States","North Carolina","Cumberland County","2243 Gray Goose Loop, Woodlea, NC 28306, United States of America"
"483","7472 Hazel Avenue, Maplewood, MO 63143, United States of America","United States","Missouri","St. Louis County","Maplewood"
"484","859 Nocatee Parkway, Jacksonville, FL 32081, United States of America","United States","Florida","St. Johns County","Jacksonville"
"485","Gardner Cryogenics, Broad Street, Emmaus, PA 18049, United States of America","United States","Pennsylvania","Lehigh County","Emmaus"
"486","260 North Westfield Road, Madison, WI 53717, United States of America","United States","Wisconsin","Dane County","Madison"
"487","848 Cicero Road, Noblesville, IN 46060, United States of America","United States","Indiana","Hamilton County","Noblesville"
"488","15789 Virginia Court, Monroe, MI 48161, United States of America","United States","Michigan","Monroe County","Monroe"
"489","2 Bricknell Avenue, Kingston Upon Hull, HU5 4JS, United Kingdom","United Kingdom","England","East Riding of Yorkshire","Kingston Upon Hull"
"490","1759 Bellevue Avenue, Durham, NC 27705, United States of America","United States","North Carolina","Durham County","Durham"
"491","Lancer Tennis Courts, Taconic Road, Livingston, NJ 07039, United States of America","United States","New Jersey","Essex County","Livingston"
"492","603 Isham Street, New York, NY 10034, United States of America","United States","New York","New York County","New York"
"493","4921 Bellemeade Avenue, Evansville, IN 47715, United States of America","United States","Indiana","Vanderburgh County","Evansville"
"494","2098 Granger Avenue, Charlotte, NC 28208, United States of America","United States","North Carolina","Mecklenburg County","Charlotte"
"495","78 Ralston Avenue, Buffalo, NY 14217 2393, United States of America","United States","New York","Erie County","Buffalo"
"496","11065 Pacific Crest Place, Silverdale, WA 98383, United States of America","United States","Washington","Kitsap County","Silverdale"
"497","9016 West Ustick Road, Boise, ID 83704, United States of America","United States","Idaho","Ada County","Boise"
"498","4010 Rosemary Street, Chevy Chase, MD 20815, United States of America","United States","Maryland","Montgomery County","Chevy Chase"
"499","North Shiloh Road, Garland, TX 75044, United States of America","United States","Texas","Dallas County","Garland"
"500","14837 Parvin Road, Celina, TX, United States of America","United States","Texas","Denton County","Celina"
"501","Upper Vine Brook Conservation Area, Bennington Road, Lexington, MA 02420-2219, United States of America","United States","Massachusetts","Middlesex County","Lexington"
"502","1471 Three Mile Road NE, Grand Rapids, MI, United States of America","United States","Michigan","Kent County","Grand Rapids"
"503","8903 Brownsboro Road, Louisville, KY 40241, United States of America","United States","Kentucky","Jefferson County","Louisville"
"504","1132 Tudor Road, Oakwood, OH 45419, United States of America","United States","Ohio","Montgomery County","Oakwood"
"505","6212 South Mobile Avenue, Chicago, IL 60638, United States of America","United States","Illinois","Cook County","Chicago"
"506","229 Dula Springs Road, Weaverville, NC 28787, United States of America","United States","North Carolina","Buncombe County","Weaverville"
"507","1800 Marshall Road, Vacaville, CA 95687, United States of America","United States","California","Solano County","Vacaville"
"508","Galapo Playground, New York, NY 11229, United States of America","United States","New York","Kings County","New York"
"509","4549 Old Pond Drive, Plano, TX 75024, United States of America","United States","Texas","Collin County","Plano"
"510","Cr-1146, Powell County, KY 40380, United States of America","United States","Kentucky","Powell County","Cr-1146, Powell County, KY 40380, United States of America"
"511","795 East Berlin Road, York, PA 17408, United States of America","United States","Pennsylvania","York County","York"
"512","9439 Butler Road, Sauquoit, NY 13456, United States of America","United States","New York","Oneida County","Sauquoit"
"513","Ribbonwalk Nature Preserve, 4601 Nevin Road, Charlotte, NC 28269, United States of America","United States","North Carolina","Mecklenburg County","Charlotte"
"514","19 & 29-13-65, Colorado Springs, CO 80922, United States of America","United States","Colorado","El Paso County","Colorado Springs"
"515","5667 Landing Road, Elkridge, MD 21075, United States of America","United States","Maryland","Howard County","Elkridge"
"516","20 Brower Lane, Brick, NJ 08723, United States of America","United States","New Jersey","Ocean County","Brick"
"517","2408 South Senour Avenue, Chicago, IL 60608, United States of America","United States","Illinois","Cook County","Chicago"
"518","39000 Paseo Chaparro, Murrieta, CA 92562, United States of America","United States","California","Riverside County","Murrieta"
"519","16815 79th Avenue East, South Hill, WA 98375, United States of America","United States","Washington","Pierce County","South Hill"
"520","1215 Noton Court, Pflugerville, TX 78660, United States of America","United States","Texas","Travis County","Pflugerville"
"521","121 Marion Street, East Dublin, GA 31027, United States of America","United States","Georgia","Laurens County","East Dublin"
"522","20535 SW 86th Avenue, Tualatin, OR 97062, United States of America","United States","Oregon","Washington County","Tualatin"
"523","376 Harvey Vickers Road, Coffee County, GA, United States of America","United States","Georgia","Coffee County","376 Harvey Vickers Road, Coffee County, GA, United States of America"
"524","8185 East Stella Road, Tucson, AZ 85730, United States of America","United States","Arizona","Pima County","Tucson"
"525","State University of New York at Potsdam, 44 Pierrepont Avenue, Potsdam, NY 13676, United States of America","United States","New York","Saint Lawrence County","Potsdam"
"526","Tommy Miller Road, Abbeville County, SC 29638, United States of America","United States","South Carolina","Abbeville County","Tommy Miller Road, Abbeville County, SC 29638, United States of America"
"527","19353 Rd P, Fort Jennings, OH 45844, United States of America","United States","Ohio","Putnam County","Fort Jennings"
"528","Carver Park, 4242 North Carefree Circle, Colorado Springs, CO 80917, United States of America","United States","Colorado","El Paso County","Colorado Springs"
"529","Edwin O. Smith High School, 1235 Storrs Road, Storrs, CT 06268, United States of America","United States","Connecticut","Tolland County","Storrs"
"530","530 Grants Trail, Centerville, OH 45459, United States of America","United States","Ohio","Montgomery County","Centerville"
"531","1901 Fisher Road, Mechanicsburg, PA 17055, United States of America","United States","Pennsylvania","Cumberland County","Mechanicsburg"
"532","208 South Lakeshore Drive, Manahawkin, NJ 08050, United States of America","United States","New Jersey","Ocean County","Manahawkin"
"533","42455 Mount Hope Road, Ashburn, VA 20148, United States of America","United States","Virginia","Loudoun County","Ashburn"
"534","Washington Manor Middle School, Churchill Street, San Leandro, CA 94579, United States of America","United States","California","Alameda County","San Leandro"
"535","1100 Saint Andrews Road, Columbia, SC 29210, United States of America","United States","South Carolina","Richland County","Columbia"
"536","6898 West Kings Avenue, Glendale, AZ 85382, United States of America","United States","Arizona","Maricopa County","Glendale"
"537","205 Suiter Street, Village of Herkimer, NY 13350, United States of America","United States","New York","Herkimer County","Village of Herkimer"
"538","Wildhorse Golf Club, 2100 West Warm Springs Road, Henderson, NV 89014, United States of America","United States","Nevada","Clark County","Henderson"
"539","Carteret Community College, 3505 Arendell Street, Morehead City, NC 28557, United States of America","United States","North Carolina","Carteret County","Morehead City"
"540","Jefferson Square, Double Drive, Fredericksburg, VA 22401, United States of America","United States","Virginia","Fredericksburg","Jefferson Square, Double Drive, Fredericksburg, VA 22401, United States of America"
"541","114 7th Street, League City, TX 77573, United States of America","United States","Texas","Galveston County","League City"
"542","67 East 500 North, Lehi, UT 84043, United States of America","United States","Utah","Utah County","Lehi"
"543","508 West Flint Street, Davison, MI 48423, United States of America","United States","Michigan","Genesee County","Davison"
"544","Lake Champlain Community Sailing Center, 505 Lake Street, Burlington, VT 05401-4417, United States of America","United States","Vermont","Chittenden County","Burlington"
"545","76 Address Unassigned, Maple Grove, MN 55369, United States of America","United States","Minnesota","Hennepin County","Maple Grove"
"546","5269 East 18th Street, Tucson, AZ 85711, United States of America","United States","Arizona","Pima County","Tucson"
"547","709 Park Place, Conroe, TX 77301, United States of America","United States","Texas","Montgomery County","Conroe"
"548","4670 South Rockford Avenue East, Tulsa, OK 74105, United States of America","United States","Oklahoma","Tulsa County","Tulsa"
"549","3500 Dearborn Drive, Durham, NC 27704, United States of America","United States","North Carolina","Durham County","Durham"
"550","200 Pollock Road, State College, PA 16802, United States of America","United States","Pennsylvania","Centre County","State College"
"551","3193 Atando Road, Concord, NC 28025, United States of America","United States","North Carolina","Cabarrus County","Concord"
"552","18605 South Woodberry Road, Reno County, KS, United States of America","United States","Kansas","Reno County","18605 South Woodberry Road, Reno County, KS, United States of America"
"553","1215 Noton Court, Pflugerville, TX 78660, United States of America","United States","Texas","Travis County","Pflugerville"
"554","175 Cherry Street, Long Branch, NJ 07740, United States of America","United States","New Jersey","Monmouth County","Long Branch"
"555","1854 Hastings Avenue, East Cleveland, OH 44112, United States of America","United States","Ohio","Cuyahoga County","East Cleveland"
"556","5294 Central Church Road, Douglas County, GA, United States of America","United States","Georgia","Douglas County","5294 Central Church Road, Douglas County, GA, United States of America"
"557","610 North Us Highway 69, Huxley, IA 50124, United States of America","United States","Iowa","Story County","Huxley"
"558",NA,NA,NA,NA,NA
"559","Świętojerska 24, 00-202 Warsaw, Poland","Poland","Masovian Voivodeship","Warszawa","Warsaw"
"560","910 I Street, Sacramento, CA 95814, United States of America","United States","California","Sacramento County","Sacramento"
"561","475 Schissle Street, St. Marys, PA, United States of America","United States","Pennsylvania","Elk County","St. Marys"
"562","18605 South Woodberry Road, Reno County, KS, United States of America","United States","Kansas","Reno County","18605 South Woodberry Road, Reno County, KS, United States of America"
"563","2401 Genessee Street, Kansas City, MO 64108, United States of America","United States","Missouri","Jackson County","Kansas City"
"564","BOB WHITE DR Bob White Drive, Clarksville, TN 37042, United States of America","United States","Tennessee","Montgomery County","Clarksville"
"565","437 South Sycamore Street, Wilmington, DE 19805, United States of America","United States","Delaware","New Castle County","Wilmington"
"566","Livingston Bathouse, 242 Hooksett Road, Manchester, NH 03104, United States of America","United States","New Hampshire","Hillsborough County","Manchester"
"567","1520 Johnson Road NW, Atlanta, GA 30318, United States of America","United States","Georgia","Fulton County","Atlanta"
"568","Veterans Memorial Park, Floral Park, NY 11001, United States of America","United States","New York","Nassau County","Floral Park"
"569","32 Bay Avenue, East Quogue, NY 11942, United States of America","United States","New York","Suffolk County","East Quogue"
"570","Lutheran SeniorLife, 1323 Freedom Road, Cranberry Township, PA 16066, United States of America","United States","Pennsylvania","Butler County","Cranberry Township"
"571","4670 South Rockford Avenue East, Tulsa, OK 74105, United States of America","United States","Oklahoma","Tulsa County","Tulsa"
"572","8046 Hamilton Avenue, Cincinnati, OH 45231, United States of America","United States","Ohio","Hamilton County","Cincinnati"
"573","North Hollywood High School, Weddington Street, Los Angeles, CA 91601-3121, United States of America","United States","California","Los Angeles County","Los Angeles"
"574","520 East Newhall Avenue, Waukesha, WI 53186, United States of America","United States","Wisconsin","Waukesha County","Waukesha"
"575","Bulldog Stadium, West 19th Street, Nederland, TX 77627, United States of America","United States","Texas","Jefferson County","Nederland"
"576","2109 Klattenhoff Drive, Wells Branch, TX 78728, United States of America","United States","Texas","Travis County","Wells Branch"
"577","8109 Kathleen Road, Polk County, FL, United States of America","United States","Florida","Polk County","8109 Kathleen Road, Polk County, FL, United States of America"
"578","Ulica Stare Nalewki 4, 00-242 Warsaw, Poland","Poland","Mazowieckie","Warszawa","Warsaw"
"579","190 South High Street, Columbus, OH 43215, United States of America","United States","Ohio","Franklin County","Columbus"
"580","3545 Puentes Drive SE, Mountain View, NM 88030, United States of America","United States","New Mexico","Luna County","Mountain View"
"581","2225 Monier Avenue, Lithia Springs, GA 30122, United States of America","United States","Georgia","Douglas County","Lithia Springs"
"582","411 Green Swamp Road, Brunswick County, NC, United States of America","United States","North Carolina","Brunswick County","411 Green Swamp Road, Brunswick County, NC, United States of America"
"583","1500 Jefferson Way, Lynnwood, WA 98087, United States of America","United States","Washington","Snohomish County","Lynnwood"
"584","Eastmoreland Golf Course, Southeast Reed College Place, Portland, OR 97202, United States of America","United States","Oregon","Multnomah County","Portland"
"585","9105 Neponset Drive, Elk Grove, CA 95624, United States of America","United States","California","Sacramento County","Elk Grove"
"586","1002 Thompsonville Lane, Oak Grove, KY 42262, United States of America","United States","Kentucky","Christian County","Oak Grove"
"587","2201 NW 11th Street, Miami, FL 33125, United States of America","United States","Florida","Miami-Dade County","Miami"
"588","Legacy Golf Resort Phoenix, 6808 South 32nd Street, Phoenix, AZ 85042, United States of America","United States","Arizona","Maricopa County","Phoenix"
"589","1280 South 8th Street, El Centro, CA 92243, United States of America","United States","California","Imperial County","El Centro"
"590","Brownie Neighborhood Park, 10000 Brownie Drive, Austin, TX 78753, United States of America","United States","Texas","Travis County","Austin"
"591","4313 NW 54 Street, Coconut Creek, FL 33073, United States of America","United States","Florida","Broward County","Coconut Creek"
"592","1662 West Knoxville Street, Broken Arrow, OK 74012, United States of America","United States","Oklahoma","Tulsa County","Broken Arrow"
"593","Olive Grove Square Park, 42 Enchanted, Irvine, CA 92620, United States of America","United States","California","Orange County","Irvine"
"594","14710 Superior Road, Cleveland Heights, OH 44118, United States of America","United States","Ohio","Cuyahoga County","Cleveland Heights"
"595","Uttoxeter Road, Stone, ST15 8RA, United Kingdom","United Kingdom","England","Staffordshire","Stone"
"596","1711 Wise Drive, North Port, FL 34286, United States of America","United States","Florida","Sarasota County","North Port"
"597","1320 Northeast 29th Avenue, Minneapolis, MN 55418, United States of America","United States","Minnesota","Hennepin County","Minneapolis"
"598","2525 NW Kings Boulevard, Corvallis, OR 97330, United States of America","United States","Oregon","Benton County","Corvallis"
"599","1301 SE Tower Road, Lawton, OK, United States of America","United States","Oklahoma","Comanche County","Lawton"
"600","260 North Westfield Road, Madison, WI 53717, United States of America","United States","Wisconsin","Dane County","Madison"
"601","1700 Airport Road, Allentown, PA 18109, United States of America","United States","Pennsylvania","Lehigh County","Allentown"
"602","Baja Canyon, San Diego, CA 92115, United States of America","United States","California","San Diego County","San Diego"
"603","2944 Ark Royal Way, Lexington, KY 40503, United States of America","United States","Kentucky","Fayette County","Lexington"
"604","1325 Brighton Way, Lakeland, FL 33813, United States of America","United States","Florida","Polk County","Lakeland"
"605","17619 Eastland Street, Roseville, MI 48066, United States of America","United States","Michigan","Macomb County","Roseville"
"606","11003 Maccorkle Avenue SE, Charleston, WV 25315, United States of America","United States","West Virginia","Kanawha County","Charleston"
"607","106 Barrington Lane, Lewisville, TX 75067, United States of America","United States","Texas","Denton County","Lewisville"
"608","11115 North Nebraska Avenue, Tampa, FL 33612, United States of America","United States","Florida","Hillsborough County","Tampa"
"609","535 Bluerock Court, San Luis Obispo, CA 93401, United States of America","United States","California","San Luis Obispo County","San Luis Obispo"
"610","17738 Northwest Pioneer Road, Beaverton, OR 97006, United States of America","United States","Oregon","Washington County","Beaverton"
"611","1257 West Lancaster Avenue, Bryn Mawr, PA 19010, United States of America","United States","Pennsylvania","Montgomery County","Bryn Mawr"
"612","7831 West Granito Drive, Los Angeles, CA 90046, United States of America","United States","California","Los Angeles County","Los Angeles"
"613","Graceland Memorial Park, 4420 Southwest 8th Street, Miami, FL 33134, United States of America","United States","Florida","Miami-Dade County","Miami"
"614","3001 Covewood Street, High Point, NC 27265, United States of America","United States","North Carolina","Guilford County","High Point"
"615","1908 North Robinwood Drive, Muncie, IN 47304, United States of America","United States","Indiana","Delaware County","Muncie"
"616","8201 Gerber Road, Elk Grove, CA 95828, United States of America","United States","California","Sacramento County","Elk Grove"
"617","2101-35 Cecil B Moore Avenue, Philadelphia, PA 19121, United States of America","United States","Pennsylvania","Philadelphia County","Philadelphia"
"618","2295 Oakmont Way, Eugene, OR 97401, United States of America","United States","Oregon","Lane County","Eugene"
"619","5929 West 13000 South, Herriman, UT 84096, United States of America","United States","Utah","Salt Lake County","Herriman"
"620","Lairon College Preparatory Academy, 3975 Mira Loma Way, San Jose, CA 95111, United States of America","United States","California","Santa Clara County","San Jose"
"621","13702 Naomi Hollow Lane, Houston, TX 77082, United States of America","United States","Texas","Harris County","Houston"
"622","2123 SE Hogan Road, Gresham, OR 97080, United States of America","United States","Oregon","Multnomah County","Gresham"
"623","12139 Deana Street, El Monte, CA 91732, United States of America","United States","California","Los Angeles County","El Monte"
"624","W6587 County Highway P, Pardeeville, WI 53954, United States of America","United States","Wisconsin","Columbia County","Pardeeville"
"625","4911 Woodcliff Hill Road, West Bloomfield, MI 48323, United States of America","United States","Michigan","Oakland County","West Bloomfield"
"626","18605 South Woodberry Road, Reno County, KS, United States of America","United States","Kansas","Reno County","18605 South Woodberry Road, Reno County, KS, United States of America"
"627","Spring Garden Community Garden, North 18th Street, Philadelphia, PA 19130, United States of America","United States","Pennsylvania","Philadelphia County","Philadelphia"
"628","176 Main Street, Southbridge, MA 01550, United States of America","United States","Massachusetts","Worcester County","Southbridge"
"629","2030 Chicago Avenue, Minneapolis, MN 55404, United States of America","United States","Minnesota","Hennepin County","Minneapolis"
"630","53 Whitford Street, Boston, MA 02131, United States of America","United States","Massachusetts","Suffolk County","Boston"
"631","Sijpestein 1, 1083 XH Amsterdam, Netherlands","Netherlands","North Holland","Amsterdam","Sijpestein 1, 1083 XH Amsterdam, Netherlands"
"632","1954 63rd Street, New York, NY 11204, United States of America","United States","New York","Kings County","New York"
"633","6101 North Neva Avenue, Chicago, IL 60631, United States of America","United States","Illinois","Cook County","Chicago"
"634","83-12 35th Avenue, New York, NY 11372, United States of America","United States","New York","Queens County","New York"
"635","12510 Brookshire Avenue, Downey, CA 90242, United States of America","United States","California","Los Angeles County","Downey"
"636","833 Piikoi Street, Honolulu, HI 96814, United States of America","United States","Hawaii","Honolulu","Honolulu"
"637","700 Radio Road, San Mateo County, CA 94014, United States of America","United States","California","San Mateo County","700 Radio Road, San Mateo County, CA 94014, United States of America"
"638","Spar, 4 Mantle Road, London, SE4 2EX, United Kingdom","United Kingdom","England","Greater London","London"
"639","12525 East Rita Road, Tucson, AZ 85747, United States of America","United States","Arizona","Pima County","Tucson"
"640","2750 South Wexley Road, Bloomington, IN 47401.0, United States of America","United States","Indiana","Monroe County","Bloomington"
"641","12100 Landsdowne, Houston, TX 77035, United States of America","United States","Texas","Harris County","Houston"
"642","9229 Shore Road, New York, NY 11209, United States of America","United States","New York","Kings County","New York"
"643","404 Cranbury Road, East Brunswick, NJ 08816, United States of America","United States","New Jersey","Middlesex County","East Brunswick"
"644",NA,NA,NA,NA,NA
"645","8831 Southwest Barbur Court, Portland, OR 97219, United States of America","United States","Oregon","Multnomah County","Portland"
"646","Balboa High School, Oneida Avenue, San Francisco, CA 94112, United States of America","United States","California","San Francisco","Balboa High School, Oneida Avenue, San Francisco, CA 94112, United States of America"
"647","Innisfree Garden, 362 Tyrrel Road, Millbrook, NY 12545, United States of America","United States","New York","Dutchess County","Millbrook"
"648","228 Valley Street, Providence, RI 02901, United States of America","United States","Rhode Island","Providence County","Providence"
"649","Hancock Elementary School, 1520 Arch Street, Norristown, PA 19401, United States of America","United States","Pennsylvania","Montgomery County","Norristown"
"650","City University of New York College of Staten Island, 2800 Victory Boulevard, New York, NY 10314, United States of America","United States","New York","New York","City University of New York College of Staten Island, 2800 Victory Boulevard, New York, NY 10314, United States of America"
"651","Carrer d'Aragó, 08001 Barcelona, Spain","Spain","Catalonia","Barcelona","Barcelona"
"652","Community Garden, Meadowbrook Avenue, Ridgewood, NJ 07450, United States of America","United States","New Jersey","Bergen County","Ridgewood"
"653","Galapo Playground, New York, NY 11229, United States of America","United States","New York","Kings County","New York"
"654","1160 Cromwell Avenue, New York, NY 10452, United States of America","United States","New York","Bronx County","New York"
"655","Colony Bend Elementary School, 2720 Planters Street, Sugar Land, TX 77479, United States of America","United States","Texas","Fort Bend County","Sugar Land"
"656","100 Grove Avenue, Metuchen, NJ 08840, United States of America","United States","New Jersey","Middlesex County","Metuchen"
"657","2 Essex Street, New York, NY 10002, United States of America","United States","New York","New York County","New York"
"658","Harry S Truman  Middle School, Tullock Street, Fontana, CA 92337, United States of America","United States","California","San Bernardino County","Fontana"
"659","1400 Cottman Avenue, Philadelphia, PA 19111, United States of America","United States","Pennsylvania","Philadelphia County","Philadelphia"
"660","Town Hall, 45 Swanston Street, Melbourne VIC 3000, Australia","Australia","Victoria","Melbourne","Town Hall, 45 Swanston Street, Melbourne VIC 3000, Australia"
"661","608b Royal Beech Drive, Waterloo, ON, Canada","Canada","Ontario","Waterloo","Waterloo"
"662","2134 South Palm Avenue, Alhambra, CA 91803, United States of America","United States","California","Los Angeles County","Alhambra"
